"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/p/AF1QipPgw2upLgfBKbtg4kzi05seZgvqt7YjEjjSDvvA=w408-h306-k-no","METUKÁ Cafetería de Barrio","4.7","144","Moctezuma 1","Álvaro Obregón, Ciudad de México","Cd. de México","MX",,"+52 55 7261 4544","Cafetería","https://www.google.com/maps/search/?api=1&query=METUK%C3%81%20Cafeter%C3%ADa%20de%20Barrio&query_place_id=ChIJh2RD3oMB0oURwhf0eS_3WkA"
"https://lh3.googleusercontent.com/p/AF1QipP2ENzdEEscRBmdWz_IwZdfgkS2SCrYPWsIAd2l=w408-h612-k-no","Amore 21 coffee","4","358","Kinchil 171","Tlalpan, Ciudad de México","Cd. de México","MX","https://www.facebook.com/amore21coffee?mibextid=ZbWKwL","+52 55 8848 7302","Cafetería","https://www.google.com/maps/search/?api=1&query=Amore%2021%20coffee&query_place_id=ChIJWRIlWTP_zYURVxXuMzg2oJI"
"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFCxcezUje_E0YvwBeP_-HZVquZluWIJrhIi6AkLZLuJQPdWEOaorCmUgmCgdN8tWjiwrDPNpmzE9EGt15NY39ORlxDi4-yBcVGLmfRpDW4QNxlYzLK7B-VB8w1c0Hc90-t3qh=w408-h306-k-no","CALLEQATRO Picacho","4.3","1823","Acanceh 140","Tlalpan, Ciudad de México","Cd. de México","MX","http://www.calleqatro.com.mx/","+52 55 5645 2683","Cafetería","https://www.google.com/maps/search/?api=1&query=CALLEQATRO%20Picacho&query_place_id=ChIJtx53gLP_zYURVPI2qRz1JG8"
"https://lh3.googleusercontent.com/p/AF1QipNZ-Jqqz7CiRH_wFc41t1VX3uH-TdvcOLi6MIFM=w408-h306-k-no","9 3/4 Coffee Shop Restaurante Temático","4.5","1239","Akil 248 esq Tizimin Heroes de Padierna Local C4, Piso Plaza","Tlalpan, Ciudad de México","CDMX","MX","http://www.cafe934.com/","+52 55 1850 7767","Cafetería","https://www.google.com/maps/search/?api=1&query=9%203%2F4%20Coffee%20Shop%20Restaurante%20Tem%C3%A1tico&query_place_id=ChIJIR3RqSX_zYURSVC1Qp_hUao"
"https://lh3.googleusercontent.com/gps-cs-s/AC9h4npgEQbNEeLlduaEtzu3VR-hOGTH6lKrxN3MmhRp5Kq2snYEGgRzTM0QfZ2TUKzSGOTGIiIjk7E8tDUDLGb4lchxy36LfNN4TqjMNCj2nm9zU_xND3MU7nA3grBY7KGZNF-PEf4xNw=w408-h272-k-no","Cafebrería El Péndulo","4.5","4984","2° Piso, Anillo Perif. Blvd. Adolfo López Mateos 4690","Coyoacán, Ciudad de México","CDMX","MX","http://pendulo.com/","+52 55 5606 3114","Cafetería","https://www.google.com/maps/search/?api=1&query=Cafebrer%C3%ADa%20El%20P%C3%A9ndulo&query_place_id=ChIJHdRgw3cAzoURAi66N-ZL1OI"
"https://lh3.googleusercontent.com/p/AF1QipMuQ-mmZGyF-6A2MI77LKZfABWi6QJZTm8hL9ZM=w408-h306-k-no","La Tertulia Cafetería","4.9","10","Av San Bernabé 1089","La Magdalena Contreras, Ciudad de México","Cd. de México","MX",,"+52 55 6378 8910","Cafetería","https://www.google.com/maps/search/?api=1&query=La%20Tertulia%20Cafeter%C3%ADa&query_place_id=ChIJJ24o7GX_zYURpL9zU5JN0nU"
"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomepea8CoaaIlb5xaPP_gDwDZDZy4hzOIY7-sqTlYgwD7Z20vqaLzOs_pk2q0FgPhI1Ezu3D15t_ngPbbfryMDYjDmsacjWYZrvalRbf62W0FmMEyMfqXbQivrYDyeLhrxc5zN=w426-h240-k-no","Galibó Cafetería","4.8","15","Acanceh 573","Tlalpan, Ciudad de México","Cd. de México","MX",,"+52 55 3442 0421","Cafetería","https://www.google.com/maps/search/?api=1&query=Galib%C3%B3%20Cafeter%C3%ADa&query_place_id=ChIJWb4ntcT_zYUR8BA5IrlAr9k"
"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noGzK-O567tWm9Uic-U_cDrXua2Lv_wnTrog3_Gabj6A9tQE5AwhAd95DwR0qtvGkirR874AHltmrOoI0ZVQcAxv5usqOoJ6bKjvgAgYpLC0Dt5OplxZAStFDxjo9BSlYc5bkdzZQ=w408-h544-k-no","Calleqatro Pedregal","4.2","1058","Kopoma 2a-Sección 123","Tlalpan, Ciudad de México","Cd. de México","MX","http://www.calleqatro.com.mx/","+52 55 2208 5429","Cafetería","https://www.google.com/maps/search/?api=1&query=Calleqatro%20Pedregal&query_place_id=ChIJTbCTXQD_zYURxLLNcIvCJJs"
"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDmc_0b1rPLTGXqRNavDXb1Y8HiA7OoT8Hu3ao29YAjxgwIt9u7cTuOQV5vjiFHIo9a_pyYWfyirZugAObRcywWZq5JSR7wrnB2PN7KzeEEB4fW__5nYwRDspHl-nM6ri-OwDP=w426-h240-k-no","CAFETERÍA ISLAS","4.7","15","C. Constitución 10A","Tlalpan, Ciudad de México","Cd. de México","MX",,,"Cafetería","https://www.google.com/maps/search/?api=1&query=CAFETER%C3%8DA%20ISLAS&query_place_id=ChIJ-eh9frH_zYURnP4F-Kk2YoM"
"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noecL6z22h5hHYhoM0iPG-A6hO1Pe3vfipd1hLrxxz3AeDOsnSl_mAtwuY0rTJYaR10ofUT4WFq7IYBSbsEBJaIVjb6hpJSpmQXKTZ1bDWDhWfpTQlBH51vKEI-uWOSSdtcbD2jzQ=w408-h306-k-no","Peltre Lonchería (Pedregal)","4.3","591","Blvrd de la Luz 270","Álvaro Obregón, Ciudad de México","Cd. de México","MX",,"+52 55 2289 5852","Restaurante de brunch","https://www.google.com/maps/search/?api=1&query=Peltre%20Loncher%C3%ADa%20(Pedregal)&query_place_id=ChIJ3d4gmPH_zYURlgTBlecjHIE"
